Language,Glottocode,Glottocode_original,note,Polity_Complexity_Rank,polity_complexity,family_size_glottolog,EGIDS,Family Glottolog
Ambulas,ambu1247,ambu1247,,,,36,5*,Sepik
Auhelawa,auhe1237,auhe1237,,,,1277,5*,Austronesian
Camsá,cams1241,cams1241,,,,1,5*,Cams�
Cashinahua,cash1254,cash1254,,,,45,5*,Pano-Tacanan
"Chin, Falam",fala1243,fala1243,,,,496,5*,Sino-Tibetan
Chrau,chra1242,chra1242,,,,156,6b*,Austroasiatic
Gwere,gwer1238,gwer1238,,,,1433,5,Atlantic-Congo
"Hmong, Southwestern Guiyang",sout2756,sout2756,,,,39,6a*,Hmong-Mien
Kamviri,kamu1242,kamu1242,,,,589,6a,Indo-European
Lamalera,lama1299,lama1299,,,,1277,6a*,Austronesian
Lonwolwol,lowl1238,lowl1238,,,,1277,8b,Austronesian
Ludian,ludi1246,ludi1246,,,,48,7,Uralic
Lun Bawang,lunb1237,lunb1237,,,,1277,5*,Austronesian
West Makian,west2600,west2600,,,,15,6a*,North Halmahera
Maonan,maon1241,maon1241,,,,95,6b*,Tai-Kadai
Mehináku,mehi1240,mehi1240,,,,78,6a,Arawakan
Illinois,miam1252,miam1252,,,,46,9,Algic
Misima-Paneati,misi1243,misi1243,,,,1277,5*,Austronesian
"Nahuatl, Sierra de Zacapoaxtla",high1278,high1278,,,,69,5*,Uto-Aztecan
Nambikuara,sout2994,sout2994,,,,6,5*,Nambiquaran
Namia,nami1256,nami1256,,,,36,6a,Sepik
Nomatsiguenga,noma1263,noma1263,,,,78,5,Arawakan
Nyungar,nyun1247,nyun1247,,,,248,9,Pama-Nyungan
Pingelapese,ping1243,ping1243,,,,1277,6a,Austronesian
Rikbaktsa,rikb1245,rikb1245,,,,30,8a,Nuclear-Macro-Je
Sakao,port1296,port1296,,,,1277,6a,Austronesian
Satawalese,sata1237,sata1237,,,,1277,5,Austronesian
Tapirapé,tapi1254,tapi1254,,,,71,4,Tupian
Tikuna,ticu1245,ticu1245,,,,2,5,Ticuna-Yuri
Tobian,tobi1238,tobi1238,,,,1277,6b,Austronesian
Tokano,toka1244,toka1244,,,,316,5*,Nuclear Trans New Guinea
Tsoa (Tshuwau),tsoa1238,tsoa1238,,,,14,7,Khoe-Kwadi
Ulithian,vlit1238,vlit1238,,,,1277,5,Austronesian
Wa,waaa1245,waaa1245,,,,156,5,Austroasiatic
Goajiro,wayu1243,wayu1243,,,,78,5*,Arawakan
Xavánte,xava1240,xava1240,,,,30,4,Nuclear-Macro-Je
Yokuts,yoku1255,yoku1255,,,,4,8a,Yokutsan
Ifugao,Ø,Ø,,,,1277,5,Austronesian
Kalinga,kali1311,kali1311,,,,1277,4,Austronesian
Tahitian,tahi1242,tahi1242,,,,1277,1,Austronesian
Uduk,uduk1239,uduk1239,,,,5,5,Koman
Taiwanese,dhiv1236,dhiv1236,,,,496,5,Sino-Tibetan
Dhivehi,dhiv1236,dhiv1236,,,,589,1,Indo-European
Urdu,urdu1245,urdu1245,,,,589,1,Indo-European
Okinawan,cent2126,cent2126,,,,15,7,Japonic
Gujarati,guja1252,guja1252,,,,589,2,Indo-European
"Arabic, Sudanese",suda1236,suda1236,,,,375,3,Afro-Asiatic
"Arabic, Bani-Hassan",hass1238,hass1238,,,,375, ,Afro-Asiatic
"Arabic, San’ani",sana1295,sana1295,,,,375, ,Afro-Asiatic
Soqotri,soqo1240,soqo1240,,,,375,6b,Afro-Asiatic
Pohnpeian,pohn1238,pohn1238,,,,1277,6a*,Austronesian
Marathi,mara1378,mara1378,,,,589,2,Indo-European
"Mixtec, Jamiltepec",jami1235,jami1235,,,,180,6a,Otomanguean
"Mixtec, Ocotepec",ocot1243,ocot1243,,,,180,6a,Otomanguean
"Mixtec, Silacayoapan",sila1250,sila1250,,,,180,5,Otomanguean
"Mixtec, Ayutla",ayut1236,ayut1236,,,,180,6a,Otomanguean
"Mixtec, Coatzospan",coat1241,coat1241,,,,180,6b*,Otomanguean
"Mixtec, Alacatlatzala",alac1244,alac1244,,,,180,5,Otomanguean
"Trique, Copala",copa1237,copa1237,,,,180,5*,Otomanguean
"Mixtec, Yosondúa",yoso1239,yoso1239,,,,180,6b,Otomanguean
"Otomi, Santiago Mexquititlan",quer1236,quer1236,,,,180,5*,Otomanguean
Teribe,teri1250,teri1250,,,,27,"5*,",Chibchan
"Chinantec, Comaltepec",coma1246,coma1246,,,,180,5,Otomanguean
"Chinantec, Sochiapan",soch1239,soch1239,,,,180,5,Otomanguean
Nevome,pima1248,pima1248,,,,69,6b,Uto-Aztecan
Seri,seri1257,seri1257,,,,1,6b,Seri
Cocopa,coco1261,coco1261,,,,11,7,Cochimi-Yuman
Kiliwa,kili1268,kili1268,,,,11,8b,Cochimi-Yuman
Mam,mamm1241,mamm1241,,,,33,5*,Mayan
Chuj,chuj1250,chuj1250,,,,33,5*,Mayan
"Ojibwa, Eastern",ojib1241,ojib1241,,,,46,6b*,Algic
Comox,como1259,como1259,,,,25,8a,Salishan
Kawaiisu,kawa1283,kawa1283,,,,69,8b,Uto-Aztecan
Gitksan,gitx1241,gitx1241,,,,4,6b,Yokutsan
"Shoshone, Western",shos1248,shos1248,,,,69,6b,Uto-Aztecan
Huastec,huas1242,huas1242,,,,33,5,Mayan
Simeulue,sime1241,sime1241,,,,1277,6a,Austronesian
Rejang,reja1240,reja1240,,,,1277,6a,Austronesian
"Malay, Bangka",bang1365,bang1365,,,,1277,6a*,Austronesian
Shanghainese,shan1293,shan1293,,,,496,5,Sino-Tibetan
"Mandaic, Khorramshahr",Ø,Ø,,,,375,8,Afro-Asiatic
"Arabic, Urban Hijazi",hija1235,hija1235,,,,375, ,Afro-Asiatic
Yakut,yaku1245,yaku1245,,,,44,2,Turkic
"Tuvan, Jungar",Ø,Ø,,,,44, ,Turkic
"Altai, Southern",sout2694,sout2694,,,,44,2,Turkic
Wakhi,wakn1245,wakn1245,,,,589,6a,Indo-European
Baluchi,east2304,east2304,,,,589, ,Indo-European
"Mordvin, Erzya",erzy1239,erzy1239,,,,48,5*,Uralic
"Saami, Northern",saam1281,saam1281,,,,48,6b,Uralic
Nganasan,ngan1291,ngan1291,,,,48,6b,Uralic
Selkup,seik1253,seik1253,,,,48,5*,Uralic
Jamaican Creole,jama1262,jama1262,,,,589,5*,Indo-European
Haitian Creole,hait1249,hait1249,,,,589,1,Indo-European
Cape Verde Creole,Ø,Ø,,,,589,1,Indo-European
"Inuktitut, Tarramiut",Ø,Ø,,,,12,2,Eskimo-Aleut
"Greenlandic, East",tunu1234,tunu1234,,,,12,1,Eskimo-Aleut
Logo,logo1259,logo1259,,,,64,5,Central Sudanic
Lamang,lama1288,lama1288,,,,375,6a*,Afro-Asiatic
Koyo,koyo1242,koyo1242,,,,1433,6b,Atlantic-Congo
Kom,komm1247,komm1247,,,,1433,3,Atlantic-Congo
Luo,luok1236,luok1236,,,,55,5,Nilotic
Tyap,tyap1238,tyap1238,,,,1433,6a,Atlantic-Congo
Karimojong,kara1483,kara1483,,,,55,5,Nilotic
Kapsiki,psik1239,psik1239,,,,375,5*,Afro-Asiatic
Kanakuru,dera1248,dera1248,,,,375,5*,Afro-Asiatic
Xhosa,yhos1239,yhos1239,,,,1433,1,Atlantic-Congo
Kutep,kute1248,kute1248,,,,1433,5*,Atlantic-Congo
Idoma,idom1241,idom1241,,,,1433,5*,Atlantic-Congo
Ibibio,ibib1240,ibib1240,,,,1433,3,Atlantic-Congo
Kele,kele1258,kele1258,,,,1277,6a*,Austronesian
Tobati,toba1266,toba1266,,,,1277,8b,Austronesian
Sobei,sobe1238,sobe1238,,,,1277,7,Austronesian
Arop-Lokep,arop1243,arop1243,,,,1277,5,Austronesian
Gapapaiwa,gapa1238,gapa1238,,,,1277,6a,Austronesian
Sudest,sude1239,sude1239,,,,1277,5,Austronesian
Lala,lala1268,lala1268,,,,1277,6a,Austronesian
Bali-Vitu,bali1280,bali1280,,,,1277,6a,Austronesian
Mwan,mwan1250,mwan1250,,,,75,5*,Mande
Miya,miya1266,miya1266,,,,1433,6a*,Atlantic-Congo
Arusa,arus1243,arus1243,,,,55,5,Nilotic
Masalit,nucl1440,nucl1440,,,,10,6a,Maban
Isaalo,Ø,Ø,,,,1433,5,Atlantic-Congo
Vai,vaii1241,vaii1241,,,,75,5*,Mande
Urhobo,urho1239,urho1239,,,,1433,5*,Atlantic-Congo
Tiv,tiuv1240,tiuv1240,,,,1433,3,Atlantic-Congo
Toposa,topo1242,topo1242,,,,55,5,Nilotic
Tiene,tien1242,tien1242,,,,1433,6a*,Atlantic-Congo
Sukuma,suku1261,suku1261,,,,1433,5,Atlantic-Congo
Koyra Chiini,koyr1241,koyr1241,,,,10,4,Songhay
Sisaala,sisa1248,sisa1248,,,,1433,5,Atlantic-Congo
Ngizim,ngiz1242,ngiz1242,,,,375,6a*,Afro-Asiatic
Noon,noon1242,noon1242,,,,1433,5,Atlantic-Congo
Noni,noom1243,noom1243,,,,1433,5,Atlantic-Congo
Chumburung,chum1261,chum1261,,,,1433,5,Atlantic-Congo
Kaulong,kaul1240,kaul1240,,,,1277,5*,Austronesian
Siar,siar1238,siar1238,,,,1277,6a,Austronesian
Taiof,taio1240,taio1240,,,,1277,5*,Austronesian
Sisiqa,sisi1250,sisi1250,,,,1277,5,Austronesian
Roviana,rovi1238,rovi1238,,,,1277,3,Austronesian
Gela,gela1263,gela1263,,,,1277,5,Austronesian
Longgu,long1395,long1395,,,,1277,6a,Austronesian
Arosi,aros1241,aros1241,,,,1277,5,Austronesian
Tamabo,malo1243,malo1243,,,,1277,5,Austronesian
Raga,hano1246,hano1246,,,,1277,3,Austronesian
Vinmavis,wini1242,wini1242,,,,1277,6b,Austronesian
Port Sandwich,port1285,port1285,,,,1277,8b,Austronesian
Southeast Ambrym,sout2859,sout2859,,,,1277,5*,Austronesian
Lamenu,lame1260,lame1260,,,,1277,5,Austronesian
Mele-Fila,mele1250,mele1250,,,,1277,5*,Austronesian
Iaai,iaai1238,iaai1238,,,,1277,6b,Austronesian
Puluwat,pulu1244,pulu1244,,,,1277,6a,Austronesian
Miisiirii,miis1236,miis1236,,,,4,6a*,Tamaic
Laz,lazz1240,lazz1240,,,,6,6b*,Kartvelian
Udi,udii1243,udii1243,,,,34,6b,Nakh-Daghestanian
Gilaki,gila1241,gila1241,,,,589,4,Indo-European
Juhuri,jude1256,jude1256,,,,589,6b*,Indo-European
"Aramaic, Urmi Jewish",Ø,Ø,,,,375,8a,Afro-Asiatic
"Bajau, Siasi (Arop.Lokep)",arop243,arop243,,,,1277,5,Austronesian
"Italian, Roman",ital1287,ital1287,,,,589, ,Indo-European
"Italian, Sicilian",sicil1248,sicil1248,,,,589,5*,Indo-European
"Arabic, Levantine",leva1239,leva1239,,,,375,3,Afro-Asiatic
Beaver,beav1236,beav1236,,,,46,8a,Athabaskan-Eyak-Tlingit
Javanese,java1254,java1254,,,,1277,4,Austronesian
"English, American (north)",nort3314,nort3314,,,,589, ,Indo-European
"English, Australian",aust1314,aust1314,,,,589, ,Indo-European
"Italian, Sardinian",sard1257,sard1257,,,,589, ,Indo-European
"Italian, Bari",Ø,Ø,,,,589, ,Indo-European
"Malay, Peranakan",baba1267,baba1267,,,,1277,8a,Austronesian
"Cantonese, Malaysian",Ø,Ø,,,,496, ,Sino-Tibetan
Konabere,nort2819,nort2819,,,,75,6a`*,Mande
Tigemaxo,tiey1235,tiey1235,,,,75,5,Mande
Flemish,ulaa1240,ulaa1240,,,,589,6b,Indo-European
Bosnian,bosn1245,bosn1245,,,,589,1,Indo-European
Indian Sign Language,indi1237,indi1237,,,,196,5,Sign Language
American Sign Language,amer1248,amer1248,,,,196,5,Sign Language
Kenyan Sign Language,keny1241,keny1241,,,,196,5,Sign Language
Zambian Sign Language,zamb1239,zamb1239,,,,196,5,Sign Language
Ethiopian Sign Language,ethi1238,ethi1238,,,,196,5,Sign Language
"French, Quebecois",queb1247,queb1247,,,,589,1,Indo-European
"Quechua, Ecuadorean",chim1302,chim1302,,,,44, ,Quechuan
Uru (Urumi),uruu1244,uruu1244,,,,71,10,Tupian
Dera,dera1245,dera1245,,,,2,7,Senagi
St’at’imcets,lill1248,lill1248,,,,25,8a,Salishan
Tagdal,tagd1238,tagd1238,,,,10,6a*,Songhay
Bambara,bamb1269,bamb1269,,,,75,4,Mande
Tuareg (Ahaggar),taha1241,taha1241,,,,375,6b*,Afro-Asiatic
Zarma,zarm1241,zarm1241,,,,10,4,Songhay
Cameroon Pidgin English,came1256,came1256,,,,589,3,Indo-European
Djambarrpuyngu,djam1256,djam1256,,,,248,3,Pama-Nyungan
Mauritian Creole,mori1278,mori1278,,,,589,3,Indo-European
Yolngu Sign Language,yoln1234,yoln1234,,,,196,7,Sign Language
Romani (Kalderash),kald1238,kald1238,,,,589,6b,Indo-European
"Tok Pisin, Port Moresby",tokp1240,tokp1240,,,,589,1,Indo-European
"Tok Pisin, North Coast",Ø,Ø,,,,589, ,Indo-European
Telugu,telu1262,telu1262,,,,80,2,Dravidian
Plains Indian Sign Language,plai1235,plai1235,,,,196,8b,Sign Language
Israeli Sign Language,isra1236,isra1236,,,,196,5,Sign Language
Al Sayyid Bedouin Sign Language,Ø,Ø,,,,196,6a,Sign Language
Kafr Qasm Sign Language,Ø,Ø,,,,196,6b,Sign Language
Izhor,ingr1248,ingr1248,,,,48,8a,Uralic
Ugandan Sign Language,ugan1238,ugan1238,,,,196,5,Sign Language
Nihon Shuwa (Japanese Sign Language),japa1238,japa1238,,,,196,5,Sign Language
Deutsche Gebärdensprache,germ1281,germ1281,,,,196,5,Sign Language
Türk Isaret Dili,turk1288,turk1288,,,,196,6a,Sign Language
Cacua,cacu1241,cacu1241,,,,2,5,Kakua-Nukak
"Spanish, Colombian",Ø,Ø,,,,589,1,Indo-European
Medumba,medu1238,medu1238,,,,1433,3,Atlantic-Congo
Kilmeri,kilm1241,kilm1241,,,,15,7,Border
Hlai,hial1239,hial1239,,,,95,6a,Tai-Kadai
"Nahuatl, Classical",clas1250,clas1250,,,,69,5*,Uto-Aztecan
Taiwanese Sign Language,taiw1241,taiw1241,,,,196,5,Sign Language
Língua de Sinais Brasileira,braz1236,braz1236,,,,196,5,Sign Language
Vlaamse Gebarentaal,vlaa1235,vlaa1235,,,,196,5,Sign Language
Jordanian Sign Language,jord1238,jord1238,,,,196,5,Sign Language
Catalan Sign Language,cata1241,cata1241,,,,196,5,Sign Language
Dusner,dusn1237,dusn1237,,,,1277,9,Austronesian
"Spanish, Mexican",Ø,Ø,,,,589,1,Indo-European
Amarakaeri,amar1274,amar1274,,,,2,6b*,Harakmbut
Kairak,kair1267,kair1267,,,,6,6a,Baining
Ura,urap1240,urap1240,,,,6,5,Baining
Daakaka,daka1243,daka1243,,,,1277,6a*,Austronesian
Ansus,ansu1237,ansu1237,,,,1277,6b*,Austronesian
Tagbanwa,tagb1258,tagb1258,,,,1277,5,Austronesian
"Malay, Ambonese",ambo1250,ambo1250,,,,1277,3,Austronesian
"Malay, Fak Fak",Ø,Ø,,,,1277, ,Austronesian
"Malay, Palembang",pale1264,pale1264,,,,1277,3,Austronesian
"Indonesian, Medan",Ø,Ø,,,,1277, ,Austronesian
Tikopia,tiko1237,tiko1237,,,,1277,5,Austronesian
