society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B118,Ngatatjara,xd965,ngaa1240,Ngaanyatjarra,Pama-Nyungan,B014,600.28382,,1968,,
B27,Nganasan,xd620,ngan1291,Nganasan,Uralic,B014,603.5025,,1933,,
B332,Northern Saulteaux,xd1049,alba1270,Albany River Ojibwa,Algic,B014,603.5025,,1870,,Binford estimate
B358,Délįne,xd1033,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,B014,603.5025,,1860,,
B109,Walbiri,xd773,warl1254,Warlpiri,Pama-Nyungan,B014,611.5492,,1965,,
B112,Ildawongga,xd959,wanm1242,Wanman,Pama-Nyungan,B014,611.5492,,1968,,Binford estimate
B382,Utkuhikhalingmiut,xd1023,nets1241,Natsilingmiutut,Eskimo-Aleut,B014,611.5492,,1920,,
B384,Iglulik Inuit,xd1025,west2618,Western Canadian Inuktitut,Eskimo-Aleut,B014,619.5959,,1920,,
B245,Cheyenne,xd1224,chey1247,Cheyenne,Algic,B014,627.6426,,1860,,
B343,Sekani,xd1044,seka1250,Sekani,Athabaskan-Eyak-Tlingit,B014,643.736,,1880,,
B344,Beaver,xd1045,beav1236,Beaver,Athabaskan-Eyak-Tlingit,B014,643.736,,1850,,
B383,Aivilingmiut Inuit,xd1024,cari1277,Kivalliq,Eskimo-Aleut,B014,643.736,,1880,,
B26,Yukaghir,xd634,nort2745,Northern Yukaghir,Yukaghir,B014,659.8294,,1900,,
B110,Ngatjan,xd957,ngad1260,Ngadjan,Pama-Nyungan,B014,669.48544,,1880,,Binford estimate
B111,Mardudjara,xd958,mart1256,Martu Wangka,Pama-Nyungan,B014,669.48544,,1960,,"Note, value provided in Table 5.01 but not Table 8.04"
B24,Ket,xd636,kett1243,Ket,Yeniseian,B014,675.9228,,1900,,
B253,Gros Ventre,xd1208,gros1243,Gros Ventre,Algic,B014,675.9228,,1870,,
B365,Naskapi,xd1063,nask1242,Naskapi,Algic,B014,675.9228,,1890,,
B260,Sarcee,xd1226,sars1236,Sarsi,Athabaskan-Eyak-Tlingit,B014,708.1096,,1880,,
B374,Caribou Inuit,xd1038,cari1277,Kivalliq,Eskimo-Aleut,B014,708.1096,,1900,,Binford estimate
B381,Copper Inuit,xd1022,copp1244,Inuinnaqtun,Eskimo-Aleut,B014,714.54696,,1920,,
B345,DeneTha,xd1034,sout2959,South Slavey,Athabaskan-Eyak-Tlingit,B014,716.1563,,1860,,
B338,Mistissini Cree,xd1062,sout2978,Southern East Cree,Algic,B014,724.203,,1880,,
B352,Hare,xd1009,nort2942,North Slavey,Athabaskan-Eyak-Tlingit,B014,724.203,,1860,,
B356,Kutchin,xd1037,gwic1235,Gwich'in,Athabaskan-Eyak-Tlingit,B014,724.203,,1880,,
B361,Tlicho,xd1032,dogr1252,Dogrib,Athabaskan-Eyak-Tlingit,B014,724.203,,1860,,
B363,Tutchone,xd1012,nort2941,Northern Tutchone,Athabaskan-Eyak-Tlingit,B014,724.203,,1890,,
B240,Lipan Apache,xd1275,lipa1241,Lipan Apache,Athabaskan-Eyak-Tlingit,B014,772.4832,,1880,,
B355,Dene,xd1046,chip1261,Chipewyan,Athabaskan-Eyak-Tlingit,B014,798.23264,,1880,,
B377,Nunamiut,xd1029,nort2944,North Slope Inupiatun,Eskimo-Aleut,B014,806.27934,,1950,,
B256,Blackfoot,xd1211,pieg1239,Piegan,Algic,B014,869.0436,,1850,,
B255,Piegan,xd1217,pieg1239,Piegan,Algic,B014,901.2304,,1850,,"Note, two estimates provided by Binford (1351.8 km, 901.2 km); this entry is one of those estimates"
B248,Crow,xd1223,crow1244,Crow,Siouan,B014,917.3238,,1870,,
B255,Piegan,xd1217,pieg1239,Piegan,Algic,B014,1351.8456,,1850,,"Note, two estimates provided by Binford (1351.8 km, 901.2 km); this entry is one of those estimates"
