society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B65,Mbuti,xd5,bila1255,Bila,Atlantic-Congo,B014,233.3543,,1930,Special reference to Mbuti of Tetri Area,"Note, three estimates provided by Binford: the first is general or refers to an unspecified Mbuti case (103 km), the second refers specifically to Mawambo Mbuti (104 km) and the third to Mbuti of the Tetri Area (233.3 km); this entry is one of those estimates"
B94,Yir Yoront,xd775,jirj1239,Jir'jorond,Pama-Nyungan,B014,233.3543,,1937,,Binford estimate
B9,Semang,xd725,kens1248,Kensiu,Austroasiatic,B014,236.57298,,1920,,
B100,Worrorra,xd949,worr1237,Worrorra,Worrorran,B014,241.401,,,,
B11,Hill Pandaram,xd905,mala1468,Malapandaram,Dravidian,B014,241.401,,1972,,
B199,Kawaiisu,xd1126,kawa1283,Kawaiisu,Uto-Aztecan,B014,241.401,,1860,,Binford estimate
B211,Tunava (Fish Lake),xd1162,mono1275,Mono (USA),Uto-Aztecan,B014,241.401,,1860,,
B91,Kaakutju,xd943,gaga1251,Gaagudju,,B014,241.401,,1920,,
B136,Tasmanians (southeastern),xd980,sout1439,South-Eastern-Tasmanian-Hinterland,South-Eastern Tasmanian,B014,265.5411,,1830,,
B212,Wadatkuht,xd992,sout2967,South Northern Paiute,Uto-Aztecan,B014,265.5411,,1870,,
B13,Agta (Isabela),xd907,agta1234,Agta-Pahanan,Austronesian,B014,273.5878,,1979,,
B50,Aweikoma,xd1411,xokl1240,Xokleng,Nuclear-Macro-Je,B014,273.5878,,1910,,
B36,Shiriana,xd1358,nina1238,Ninam,Yanomamic,B014,275.19714,,1960,,Binford estimate
B386,Baffin Island Inuit,xd1030,baff1240,North Baffin Inuktitut,Eskimo-Aleut,B014,281.6345,,1880,,
B39,Guahibo,xd1347,guah1255,Guahibo,Guahiboan,B014,281.6345,,1960,,
B43,Sirionó,xd1362,siri1273,Sirionó,Tupian,B014,284.8972759,,1940,,"Note, Binford Table 5.01 lists '337.9614 km', but without attributing the value to a specific reference, so the value from table 8.04 is displayed here."
B200,Tümpisa Shoshone (Saline),xd1166,pana1305,Panamint,Uto-Aztecan,B014,289.6812,,1860,,
B206,Tunava (Deep Springs),xd1162,mono1275,Mono (USA),Uto-Aztecan,B014,313.8213,,1860,,
B225,Washo,xd1196,wash1253,Washo,,B014,318.64932,,1850,,
B201,Antarianunts,xd1184,utee1244,Ute,Uto-Aztecan,B014,321.868,,1860,,Binford estimate
